,Value,Size,Type,Bind,Vis,Ndx,Name
,02001974,8,OBJECT,LOCAL,DEFAULT,1,mt_usb_comm_interface
,0200197c,1052,OBJECT,GLOBAL,DEFAULT,1,mt6573_tx_urb
,02001d98,24,OBJECT,LOCAL,DEFAULT,1,usb_input_buffer
,02001db0,40,OBJECT,LOCAL,DEFAULT,1,mt_usb_device
,02001dd8,28,OBJECT,LOCAL,DEFAULT,1,mt_usb_data_alternate_int
,02001df4,52,OBJECT,LOCAL,DEFAULT,1,configuration
,02001e28,34,OBJECT,LOCAL,DEFAULT,1,product
,02001e4a,18,OBJECT,LOCAL,DEFAULT,1,manufacturer
,02001e5c,4,OBJECT,GLOBAL,DEFAULT,1,tool_exists
,02001e60,8,OBJECT,LOCAL,DEFAULT,1,mt_usb_interface
,02001e68,8,OBJECT,LOCAL,DEFAULT,1,mt_usb_data_interface
,02001e70,4,OBJECT,GLOBAL,DEFAULT,1,g_charger_in_flag
,02001e74,4,OBJECT,GLOBAL,DEFAULT,1,g_ret
,02001e78,4,OBJECT,GLOBAL,DEFAULT,1,g_first_check
,02001e7c,4,OBJECT,LOCAL,DEFAULT,1,timestamp
,02001e80,4,OBJECT,LOCAL,DEFAULT,1,lastinc
,02001e84,4,OBJECT,LOCAL,DEFAULT,1,status.4091
,02001e88,4,OBJECT,GLOBAL,DEFAULT,1,g_rgu_status
,02001e8c,4,OBJECT,LOCAL,DEFAULT,1,reboot_from
,02001e90,4,OBJECT,LOCAL,DEFAULT,1,rgu_mode
,02001e94,4,OBJECT,LOCAL,DEFAULT,1,timeout
,02001e98,24,OBJECT,LOCAL,DEFAULT,1,tempart
,02001eb0,3520,OBJECT,LOCAL,DEFAULT,1,new_part
,02002c70,3520,OBJECT,LOCAL,DEFAULT,1,lastest_part
,02003a30,4,OBJECT,GLOBAL,DEFAULT,1,g_boot_time
,02003a34,4,OBJECT,GLOBAL,DEFAULT,1,g_boot_mode
,02003a38,3072,OBJECT,GLOBAL,DEFAULT,1,sys_stack
,02004638,4,OBJECT,GLOBAL,DEFAULT,1,g_boot_reason
,0200463c,4,OBJECT,GLOBAL,DEFAULT,1,kpoc_flag
,02004640,4,OBJECT,GLOBAL,DEFAULT,1,g_meta_com_type
,02004644,4,OBJECT,GLOBAL,DEFAULT,1,g_meta_com_id
,02004648,4,OBJECT,LOCAL,DEFAULT,1,g_log_disable
,0200464c,8,OBJECT,GLOBAL,DEFAULT,1,sec_cfg_info
,02004654,512,OBJECT,GLOBAL,DEFAULT,1,g_SBC_PUBK
,02004854,4,OBJECT,GLOBAL,DEFAULT,1,secroimg
,02004858,1,OBJECT,GLOBAL,DEFAULT,1,bDumpPartInfo
,0200485c,4,OBJECT,GLOBAL,DEFAULT,1,g_sha1_time
,02004860,4,OBJECT,LOCAL,DEFAULT,1,img_buf
,02004864,4,OBJECT,LOCAL,DEFAULT,1,chunk_buf
,02004868,4,OBJECT,LOCAL,DEFAULT,1,img_buf_current_allocated
,0200486c,4,OBJECT,GLOBAL,DEFAULT,1,g_cust
,02004870,4,OBJECT,GLOBAL,DEFAULT,1,g_sec_cfg
,02004874,32,OBJECT,GLOBAL,DEFAULT,1,g_cust_name
,02004894,92,OBJECT,GLOBAL,DEFAULT,1,rsa
,020048f0,20,OBJECT,GLOBAL,DEFAULT,1,sha1sum
,02004904,4,OBJECT,GLOBAL,DEFAULT,1,heap_current_alloc
,02004908,84,OBJECT,LOCAL,DEFAULT,1,sej_ctx
,020076fc,960,OBJECT,GLOBAL,DEFAULT,3,g_ROM_INFO
,02007ac0,152,FUNC,GLOBAL,DEFAULT,4,__udivsi3
,02007e2d,160,FUNC,GLOBAL,DEFAULT,5,virt_to_phys_addr
,02007ecd,40,FUNC,GLOBAL,DEFAULT,6,blkdev_register
,02007ef5,28,FUNC,GLOBAL,DEFAULT,7,blkdev_get
,02007f11,430,FUNC,GLOBAL,DEFAULT,8,blkdev_read
,020080bf,466,FUNC,GLOBAL,DEFAULT,9,blkdev_write
,02008291,76,FUNC,GLOBAL,DEFAULT,10,buf_input_init
,020082dd,76,FUNC,GLOBAL,DEFAULT,11,buf_output_init
,02008329,52,FUNC,GLOBAL,DEFAULT,12,buf_pop
,0200835d,42,FUNC,GLOBAL,DEFAULT,13,buf_push
,02008387,2,FUNC,GLOBAL,DEFAULT,14,cust_part_init
,02008389,12,FUNC,GLOBAL,DEFAULT,15,cust_part_tbl
,02008395,48,FUNC,LOCAL,DEFAULT,16,uffs.part.0
,020083c5,48,FUNC,LOCAL,DEFAULT,16,uffs.part.0
,020083f5,272,FUNC,GLOBAL,DEFAULT,17,device_APC_dom_setup
,02008505,24,FUNC,GLOBAL,DEFAULT,18,__div0
,0200851d,32,FUNC,LOCAL,DEFAULT,19,usbdl_put_byte
,0200853d,36,FUNC,LOCAL,DEFAULT,20,usbdl_put_word
,02008561,48,FUNC,LOCAL,DEFAULT,21,usbdl_put_dword
,02008591,24,FUNC,LOCAL,DEFAULT,22,usbdl_get_byte
,020085a9,44,FUNC,LOCAL,DEFAULT,23,usbdl_get_word
,020085d5,60,FUNC,LOCAL,DEFAULT,24,usbdl_get_dword
,02008611,116,FUNC,LOCAL,DEFAULT,25,usbdl_read16
,02008685,138,FUNC,LOCAL,DEFAULT,26,usbdl_write16
,02008711,1592,FUNC,GLOBAL,DEFAULT,27,usbdl_handler
,02008d49,72,FUNC,GLOBAL,DEFAULT,28,mt_set_gpio_dir_chip
,02008d91,80,FUNC,GLOBAL,DEFAULT,29,mt_set_gpio_pull_enable_c
,02008de1,80,FUNC,GLOBAL,DEFAULT,30,mt_set_gpio_pull_select_c
,02008e31,52,FUNC,GLOBAL,DEFAULT,31,mt_set_gpio_mode_chip
,02008e65,4,FUNC,GLOBAL,DEFAULT,32,mt_set_gpio_dir
,02008e69,4,FUNC,GLOBAL,DEFAULT,33,mt_set_gpio_pull_enable
,02008e6d,4,FUNC,GLOBAL,DEFAULT,34,mt_set_gpio_pull_select
,02008e71,4,FUNC,GLOBAL,DEFAULT,35,mt_set_gpio_mode
,02008e75,56,FUNC,GLOBAL,DEFAULT,36,mt_gpio_init_post
,02008ead,4,FUNC,LOCAL,DEFAULT,37,uart_recv
,02008eb1,24,FUNC,LOCAL,DEFAULT,38,uart_send
,02008ec9,84,FUNC,GLOBAL,DEFAULT,39,uart_handshake_init
,02008f1d,328,FUNC,GLOBAL,DEFAULT,40,uart_handshake
,02009065,82,FUNC,LOCAL,DEFAULT,41,usb_recv
,020090b7,22,FUNC,LOCAL,DEFAULT,42,usb_send
,020090cd,744,FUNC,GLOBAL,DEFAULT,43,usb_handshake
,02009531,100,FUNC,LOCAL,DEFAULT,45,wait_for_discon.constprop
,02009595,784,FUNC,LOCAL,DEFAULT,46,bldr_cmd_handler
,020098a5,60,FUNC,GLOBAL,DEFAULT,47,bldr_load_part
,020098e1,124,FUNC,GLOBAL,DEFAULT,48,bldr_jump
,02009965,420,FUNC,GLOBAL,DEFAULT,49,main
,02009b09,64,FUNC,LOCAL,DEFAULT,50,mmc_virt_to_phys
,02009b49,108,FUNC,LOCAL,DEFAULT,51,mmc_switch_part
,02009bb5,52,FUNC,LOCAL,DEFAULT,52,mmc_bwrite
,02009be9,52,FUNC,LOCAL,DEFAULT,53,mmc_bread
,02009c1d,544,FUNC,GLOBAL,DEFAULT,54,mmc_init_device
,02009e3d,154,FUNC,GLOBAL,DEFAULT,55,mmc_get_device_id
,02009ed7,58,FUNC,GLOBAL,DEFAULT,56,unstuff_bits
,02009f11,24,FUNC,GLOBAL,DEFAULT,57,mmc_get_host
,02009f29,28,FUNC,GLOBAL,DEFAULT,58,mmc_get_card
,02009f45,50,FUNC,GLOBAL,DEFAULT,59,mmc_cmd
,02009f79,64,FUNC,LOCAL,DEFAULT,60,mmc_send_if_cond
,02009fb9,60,FUNC,LOCAL,DEFAULT,61,mmc_app_cmd
,02009ff5,74,FUNC,LOCAL,DEFAULT,62,mmc_send_app_op_cond
,0200a03f,74,FUNC,LOCAL,DEFAULT,63,mmc_send_op_cond
,0200a089,140,FUNC,LOCAL,DEFAULT,64,mmc_sd_switch.isra.0.cons
,0200a115,70,FUNC,GLOBAL,DEFAULT,65,mmc_select_voltage
,0200a15b,30,FUNC,GLOBAL,DEFAULT,66,mmc_go_idle
,0200a179,44,FUNC,GLOBAL,DEFAULT,67,mmc_send_status
,0200a1a5,36,FUNC,GLOBAL,DEFAULT,68,mmc_select_card
,0200a1c9,86,FUNC,GLOBAL,DEFAULT,69,mmc_send_relative_addr
,0200a221,132,FUNC,GLOBAL,DEFAULT,70,mmc_switch
,0200a2a5,80,FUNC,GLOBAL,DEFAULT,71,mmc_switch_hs
,0200a2f5,464,FUNC,GLOBAL,DEFAULT,72,mmc_read_ext_csd
,0200a4c5,38,FUNC,GLOBAL,DEFAULT,73,mmc_set_card_detect
,0200a4eb,50,FUNC,GLOBAL,DEFAULT,74,mmc_set_blk_length
,0200a51d,324,FUNC,GLOBAL,DEFAULT,75,mmc_set_bus_width
,0200a661,164,FUNC,GLOBAL,DEFAULT,76,mmc_dev_bread
,0200a705,116,FUNC,GLOBAL,DEFAULT,77,mmc_block_read
,0200a779,232,FUNC,GLOBAL,DEFAULT,78,mmc_block_write
,0200a861,2392,FUNC,GLOBAL,DEFAULT,79,mmc_init_mem_card
,0200b1b9,160,FUNC,GLOBAL,DEFAULT,80,mmc_init_card
,0200b259,36,FUNC,GLOBAL,DEFAULT,81,mmc_init_host
,0200b27d,112,FUNC,GLOBAL,DEFAULT,82,mmc_init
,0200b2ed,64,FUNC,GLOBAL,DEFAULT,83,mmc_stuff_buff
,0200b32d,308,FUNC,GLOBAL,DEFAULT,84,mmc_get_sandisk_fwid
,0200b461,88,FUNC,GLOBAL,DEFAULT,85,msdc_set_timeout
,0200b4b9,84,FUNC,GLOBAL,DEFAULT,86,msdc_set_blklen
,0200b50d,6,FUNC,GLOBAL,DEFAULT,87,msdc_set_blknum
,0200b515,36,FUNC,GLOBAL,DEFAULT,88,msdc_set_dmode
,0200b539,6,FUNC,GLOBAL,DEFAULT,89,msdc_set_pio_bits
,0200b541,32,FUNC,GLOBAL,DEFAULT,90,msdc_set_smt
,0200b561,196,FUNC,GLOBAL,DEFAULT,91,msdc_set_rdtdsel
,0200b625,88,FUNC,GLOBAL,DEFAULT,92,msdc_set_driving
,0200b67d,264,FUNC,GLOBAL,DEFAULT,93,msdc_pad_ctrl_init
,0200b785,20,FUNC,GLOBAL,DEFAULT,94,msdc_pin_pud
,0200b799,2,FUNC,GLOBAL,DEFAULT,95,msdc_pin_pnul
,0200b79d,124,FUNC,GLOBAL,DEFAULT,96,msdc_config_clksrc
,0200b819,352,FUNC,GLOBAL,DEFAULT,97,msdc_config_clock
,0200b979,2,FUNC,GLOBAL,DEFAULT,98,msdc_clock
,0200b97d,60,FUNC,GLOBAL,DEFAULT,99,msdc_config_bus
,0200b9b9,24,FUNC,GLOBAL,DEFAULT,100,msdc_config_pin
,0200b9d1,2,FUNC,GLOBAL,DEFAULT,101,msdc_set_host_pwr
,0200b9d3,58,FUNC,GLOBAL,DEFAULT,102,msdc_host_power
,0200ba0d,2,FUNC,GLOBAL,DEFAULT,103,msdc_card_power
,0200ba0f,46,FUNC,GLOBAL,DEFAULT,104,msdc_power
,0200ba3d,10,FUNC,GLOBAL,DEFAULT,105,msdc_intr_unmask
,0200ba49,392,FUNC,GLOBAL,DEFAULT,106,msdc_send_cmd
,0200bbd1,136,FUNC,GLOBAL,DEFAULT,107,msdc_wait_rsp
,0200bc59,212,FUNC,GLOBAL,DEFAULT,108,msdc_abort
,0200bd2d,256,FUNC,GLOBAL,DEFAULT,109,msdc_pio_read
,0200be2d,168,FUNC,GLOBAL,DEFAULT,110,msdc_pio_write
,0200bed5,152,FUNC,GLOBAL,DEFAULT,111,msdc_tune_cal_smaller_tri
,0200bf6d,924,FUNC,GLOBAL,DEFAULT,112,msdc_tune_cmdrsp
,0200c309,70,FUNC,GLOBAL,DEFAULT,113,msdc_cmd
,0200c34f,56,FUNC,GLOBAL,DEFAULT,114,msdc_cmd_stop
,0200c389,252,FUNC,GLOBAL,DEFAULT,115,msdc_abort_handler
,0200c485,252,FUNC,GLOBAL,DEFAULT,116,msdc_pio_bwrite
,0200c581,256,FUNC,GLOBAL,DEFAULT,117,msdc_pio_bread
,0200c681,268,FUNC,GLOBAL,DEFAULT,118,msdc_pio_send_sandisk_fwi
,0200c78d,966,FUNC,GLOBAL,DEFAULT,119,msdc_tune_bread
,0200cb55,6,FUNC,GLOBAL,DEFAULT,120,msdc_reset_tune_counter
,0200cb5d,612,FUNC,GLOBAL,DEFAULT,121,msdc_tune_read
,0200cdc1,176,FUNC,GLOBAL,DEFAULT,122,msdc_init_reg
,0200ce71,636,FUNC,GLOBAL,DEFAULT,123,msdc_init
,0200d0ed,2,FUNC,GLOBAL,DEFAULT,124,msdc_irq_init
,0200d0f1,184,FUNC,GLOBAL,DEFAULT,125,msdc_intr_wait
,0200d1a9,8,FUNC,LOCAL,DEFAULT,126,gpt_wait_us_dsb
,0200d1b1,120,FUNC,GLOBAL,DEFAULT,127,get_mode_reg
,0200d229,832,FUNC,GLOBAL,DEFAULT,128,get_board_dram_info
,0200d569,656,FUNC,LOCAL,DEFAULT,129,mt_get_mdl_number
,0200d7f9,56,FUNC,GLOBAL,DEFAULT,130,mt_get_dram_type
,0200d831,96,FUNC,GLOBAL,DEFAULT,131,get_dram_rank_nr
,0200d891,76,FUNC,GLOBAL,DEFAULT,132,get_dram_rank_size
,0200d8dd,2192,FUNC,GLOBAL,DEFAULT,133,__EMI_InitializeLPDDR
,0200e16d,284,FUNC,GLOBAL,DEFAULT,134,__EMI_DataAutoTrackingReg
,0200e289,152,FUNC,GLOBAL,DEFAULT,135,__EmiDataTrainRegWrite
,0200e321,292,FUNC,GLOBAL,DEFAULT,136,__EMI_DataTrackingMbistTe
,0200e445,64,FUNC,GLOBAL,DEFAULT,137,__EMI_DataAutoTrackingMbi
,0200e485,1720,FUNC,GLOBAL,DEFAULT,138,__EMI_DataAutoTrackingTra
,0200eb3d,1320,FUNC,GLOBAL,DEFAULT,139,__EMI_EnableDataAutoTrack
,0200f065,436,FUNC,GLOBAL,DEFAULT,140,__EMI_EnablePerformancePo
,0200f219,328,FUNC,GLOBAL,DEFAULT,141,__EMI_EnableBandwidthLimi
,0200f361,616,FUNC,GLOBAL,DEFAULT,142,mt_set_emi
,0200f5c9,508,FUNC,GLOBAL,DEFAULT,143,SRAM_repair
,0200f7c5,4,FUNC,GLOBAL,DEFAULT,144,i2c_v1_set_speed
,0200f7c9,4,FUNC,GLOBAL,DEFAULT,145,i2c_v1_read
,0200f7cd,4,FUNC,GLOBAL,DEFAULT,146,i2c_v1_write
,0200f7d1,1032,FUNC,GLOBAL,DEFAULT,147,complex_mem_test
,0200fbd9,68,FUNC,GLOBAL,DEFAULT,148,mt_mem_init
,0200fc1d,30,FUNC,GLOBAL,DEFAULT,149,MFG_MM_SRAM_repair
,0200fc3d,224,FUNC,GLOBAL,DEFAULT,150,mmsys_on
,0200fd1d,164,FUNC,GLOBAL,DEFAULT,151,mmsys_off
,0200fdc1,128,FUNC,GLOBAL,DEFAULT,152,mfg_on
,0200fe41,112,FUNC,GLOBAL,DEFAULT,153,mfg_off
,0200feb1,196,FUNC,GLOBAL,DEFAULT,154,ptp_init1
,0200ff75,12,FUNC,LOCAL,DEFAULT,155,wait_for_fsm_vldclr
,0200ff81,10,FUNC,LOCAL,DEFAULT,156,wait_for_sync
,0200ff8b,20,FUNC,LOCAL,DEFAULT,157,wait_for_idle_and_sync
,0200ff9f,10,FUNC,LOCAL,DEFAULT,158,wait_for_cipher_ready
,0200ffa9,88,FUNC,LOCAL,DEFAULT,159,wait_for_state_ready_init
,02010001,84,FUNC,GLOBAL,DEFAULT,160,pwrap_dump_ap_register
,02010055,484,FUNC,GLOBAL,DEFAULT,161,pwrap_wacs2
,02010239,14,FUNC,GLOBAL,DEFAULT,162,pwrap_write
,02010247,14,FUNC,GLOBAL,DEFAULT,163,pwrap_read
,02010255,352,FUNC,LOCAL,DEFAULT,164,_pwrap_wacs2_nochk
,020103b5,14,FUNC,LOCAL,DEFAULT,165,pwrap_read_nochk
,020103c3,14,FUNC,LOCAL,DEFAULT,166,pwrap_write_nochk
,020103d1,1772,FUNC,GLOBAL,DEFAULT,167,pwrap_init
,02010abd,68,FUNC,GLOBAL,DEFAULT,168,pwrap_init_preloader
,02010b01,46,FUNC,LOCAL,DEFAULT,169,rtc_xosc_check_clock
,02010b2f,56,FUNC,LOCAL,DEFAULT,170,rtc_eosc_check_clock
,02010b67,116,FUNC,LOCAL,DEFAULT,171,rtc_mktime
,02010bdb,20,FUNC,LOCAL,DEFAULT,172,RTC_Read
,02010bef,30,FUNC,LOCAL,DEFAULT,173,rtc_check_lpd
,02010c0d,72,FUNC,LOCAL,DEFAULT,174,Write_trigger
,02010c55,40,FUNC,LOCAL,DEFAULT,175,rtc_gpio_init
,02010c7d,58,FUNC,LOCAL,DEFAULT,176,rtc_xosc_write
,02010cb9,232,FUNC,LOCAL,DEFAULT,177,get_frequency_meter
,02010da1,180,FUNC,LOCAL,DEFAULT,178,eosc_cali
,02010e55,182,FUNC,LOCAL,DEFAULT,179,rtc_measure_four_clock
,02010f0b,44,FUNC,LOCAL,DEFAULT,180,Writeif_unlock
,02010f37,100,FUNC,LOCAL,DEFAULT,181,rtc_lpd_init
,02010f9d,112,FUNC,LOCAL,DEFAULT,182,rtc_2sec_stat_clear
,0201100d,276,FUNC,LOCAL,DEFAULT,183,rtc_android_init
,02011121,168,FUNC,LOCAL,DEFAULT,184,rtc_frequency_meter_check
,020111c9,108,FUNC,LOCAL,DEFAULT,185,rtc_first_boot_init
,02011235,196,FUNC,LOCAL,DEFAULT,186,rtc_recovery_flow
,020112f9,32,FUNC,GLOBAL,DEFAULT,187,rtc_mark_bypass_pwrkey
,02011319,100,FUNC,GLOBAL,DEFAULT,188,rtc_save_low_power_detect
,0201137d,36,FUNC,GLOBAL,DEFAULT,189,pl_power_off
,020113a1,156,FUNC,GLOBAL,DEFAULT,190,rtc_save_2sec_stat
,0201143d,1356,FUNC,GLOBAL,DEFAULT,191,rtc_boot_check
,02011989,12,FUNC,GLOBAL,DEFAULT,192,rtc_2sec_reboot_check
,02011995,36,FUNC,GLOBAL,DEFAULT,193,rtc_enable_2sec_reboot
,020119b9,64,FUNC,GLOBAL,DEFAULT,194,rtc_bbpu_power_on
,020119f9,112,FUNC,LOCAL,DEFAULT,195,mt_read_fifo
,02011a69,60,FUNC,LOCAL,DEFAULT,196,mt_find_ep
,02011aa5,76,FUNC,LOCAL,DEFAULT,197,mt_udc_flush_fifo
,02011af1,140,FUNC,LOCAL,DEFAULT,198,mt_write_fifo
,02011b7d,116,FUNC,LOCAL,DEFAULT,199,mt_udc_ep0_write
,02011bf1,180,FUNC,LOCAL,DEFAULT,200,mt_udc_reset
,02011ca5,46,FUNC,LOCAL,DEFAULT,201,copy_desc
,02011cd5,1540,FUNC,GLOBAL,DEFAULT,202,mt_udc_irq
,020122d9,60,FUNC,GLOBAL,DEFAULT,203,mt_ep_write
,02012315,44,FUNC,GLOBAL,DEFAULT,204,mt_ep_busy
,02012341,376,FUNC,GLOBAL,DEFAULT,205,mt_setup_ep
,020124b9,16,FUNC,GLOBAL,DEFAULT,206,mt_usb_connect_internal
,020124c9,16,FUNC,GLOBAL,DEFAULT,207,mt_usb_disconnect_interna
,020124d9,68,FUNC,GLOBAL,DEFAULT,208,udc_enable
,0201251d,14,FUNC,GLOBAL,DEFAULT,209,usb_service_offline
,0201252d,100,FUNC,GLOBAL,DEFAULT,210,mt_usb_phy_poweron
,02012591,188,FUNC,GLOBAL,DEFAULT,211,mt_usb_phy_savecurrent
,0201264d,308,FUNC,GLOBAL,DEFAULT,212,mt_usb_phy_recover
,02012781,332,FUNC,GLOBAL,DEFAULT,213,mt_usb_phy_calibraion
,020128cd,108,FUNC,GLOBAL,DEFAULT,214,mt_usb_calibraion
,02012939,16,FUNC,GLOBAL,DEFAULT,215,Charger_Detect_Init
,02012949,16,FUNC,GLOBAL,DEFAULT,216,Charger_Detect_Release
,02012959,92,FUNC,GLOBAL,DEFAULT,217,mt_usb_set_to_uart_mode
,020129b5,100,FUNC,GLOBAL,DEFAULT,218,is_uart_cable_inserted
,02012a19,34,FUNC,LOCAL,DEFAULT,219,str2wide
,02012a3d,44,FUNC,LOCAL,DEFAULT,220,ep_to_buf.constprop.0
,02012a69,80,FUNC,GLOBAL,DEFAULT,221,usb_alloc_urb
,02012ab9,776,FUNC,GLOBAL,DEFAULT,222,usbdl_init
,02012dc1,20,FUNC,GLOBAL,DEFAULT,223,tool_is_present
,02012dd5,20,FUNC,GLOBAL,DEFAULT,224,tool_state_update
,02012de9,20,FUNC,GLOBAL,DEFAULT,225,usbdl_configured
,02012dfd,116,FUNC,GLOBAL,DEFAULT,226,enable_highspeed
,02012e71,72,FUNC,GLOBAL,DEFAULT,227,config_usbtty
,02012eb9,92,FUNC,GLOBAL,DEFAULT,228,service_interrupts
,02012f15,124,FUNC,GLOBAL,DEFAULT,229,usbdl_poll
,02012f91,80,FUNC,GLOBAL,DEFAULT,230,usbdl_flush
,02012fe1,4,FUNC,GLOBAL,DEFAULT,231,mt_usbtty_flush
,02012fe5,96,FUNC,GLOBAL,DEFAULT,232,mt_usbtty_getcn
,02013045,104,FUNC,GLOBAL,DEFAULT,233,mt_usbtty_putcn
,020130ad,88,FUNC,GLOBAL,DEFAULT,234,mt_usbtty_puts
,02013105,44,FUNC,GLOBAL,DEFAULT,235,mt_usbtty_query_data_size
,02013131,58,FUNC,GLOBAL,DEFAULT,236,mtk_kpd_gpios_get
,0201316d,308,FUNC,GLOBAL,DEFAULT,237,mtk_kpd_gpio_set
,020132a1,120,FUNC,GLOBAL,DEFAULT,238,set_kpd_pmic_mode
,02013319,2,FUNC,GLOBAL,DEFAULT,239,enable_PMIC_kpd_clock
,0201331d,100,FUNC,GLOBAL,DEFAULT,240,mtk_detect_key
,02013381,56,FUNC,GLOBAL,DEFAULT,241,mtk_detect_dl_keys
,020133b9,100,FUNC,GLOBAL,DEFAULT,242,mtk_pll_init_emi
,0201341d,40,FUNC,GLOBAL,DEFAULT,243,pmic_read_interface
,02013445,52,FUNC,GLOBAL,DEFAULT,244,pmic_config_interface
,02013479,2,FUNC,GLOBAL,DEFAULT,245,pmic_lock
,0201347b,2,FUNC,GLOBAL,DEFAULT,246,pmic_unlock
,0201347d,28,FUNC,GLOBAL,DEFAULT,247,upmu_set_rg_bc11_bb_ctrl
,02013499,28,FUNC,GLOBAL,DEFAULT,248,upmu_set_rg_bc11_rst
,020134b5,28,FUNC,GLOBAL,DEFAULT,249,upmu_set_rg_bc11_vsrc_en
,020134d1,34,FUNC,GLOBAL,DEFAULT,250,upmu_get_rgs_bc11_cmp_out
,020134f3,28,FUNC,GLOBAL,DEFAULT,251,upmu_set_rg_bc11_vref_vth
,0201350f,28,FUNC,GLOBAL,DEFAULT,252,upmu_set_rg_bc11_cmp_en
,0201352b,28,FUNC,GLOBAL,DEFAULT,253,upmu_set_rg_bc11_ipd_en
,02013547,28,FUNC,GLOBAL,DEFAULT,254,upmu_set_rg_bc11_ipu_en
,02013563,28,FUNC,GLOBAL,DEFAULT,255,upmu_set_rg_bc11_bias_en
,0201357f,64,FUNC,GLOBAL,DEFAULT,256,hw_bc11_init
,020135bf,68,FUNC,GLOBAL,DEFAULT,257,hw_bc11_DCD
,02013603,48,FUNC,GLOBAL,DEFAULT,258,hw_bc11_stepA1
,02013633,54,FUNC,GLOBAL,DEFAULT,259,hw_bc11_stepB1
,02013669,54,FUNC,GLOBAL,DEFAULT,260,hw_bc11_stepC1
,0201369f,60,FUNC,GLOBAL,DEFAULT,261,hw_bc11_stepA2
,020136db,54,FUNC,GLOBAL,DEFAULT,262,hw_bc11_stepB2
,02013711,46,FUNC,GLOBAL,DEFAULT,263,hw_bc11_done
,02013741,172,FUNC,GLOBAL,DEFAULT,264,hw_charger_type_detection
,020137ed,68,FUNC,GLOBAL,DEFAULT,265,mt_charger_type_detection
,02013831,26,FUNC,GLOBAL,DEFAULT,266,get_pmic6323_chip_version
,0201384d,60,FUNC,GLOBAL,DEFAULT,267,pmic_detect_powerkey
,02013889,36,FUNC,GLOBAL,DEFAULT,268,pmic_IsUsbCableIn
,020138ad,552,FUNC,GLOBAL,DEFAULT,269,hw_set_cc
,02013ad5,30,FUNC,GLOBAL,DEFAULT,270,pl_hw_ulc_det
,02013af3,4,FUNC,GLOBAL,DEFAULT,271,hw_check_battery
,02013af9,144,FUNC,GLOBAL,DEFAULT,272,pl_charging
